"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Srrt",3.36808818534226e-32,0.263977557924195,0.663,0.491,4.86958189836784e-28,"1","Srrt"
"Slfn1",4.00946007797548e-32,-0.330202623492318,0.137,0.285,5.79687738073695e-28,"1","Slfn1"
"Dtl",4.06957516828365e-32,0.250107046189377,0.316,0.167,5.88379177830451e-28,"1","Dtl"
"Fli1.1",4.49242089726994e-32,0.278153971500399,0.365,0.21,6.49514213327288e-28,"1","Fli1"
"St8sia6",6.10404217859237e-32,-0.351705190506663,0.046,0.161,8.82522418180885e-28,"1","St8sia6"
"Psmb9.1",9.95050414078604e-32,0.260648313855829,0.536,0.355,1.43864388867485e-27,"1","Psmb9"
"Dazap2",1.19119375308067e-31,0.272237166824522,0.611,0.44,1.72222792820403e-27,"1","Dazap2"
"Ssr3",1.27152216102143e-31,0.26926006536225,0.47,0.299,1.83836674040479e-27,"1","Ssr3"
"Tspo.1",1.47092248660217e-31,0.272460027645918,0.393,0.234,2.12665973112942e-27,"1","Tspo"
"Cyth3",1.97505911806058e-31,-0.314527834306182,0.052,0.169,2.85554047289199e-27,"1","Cyth3"
"Ehmt2",2.21218244127263e-31,0.256984051060339,0.521,0.345,3.19837337359197e-27,"1","Ehmt2"
"AW112010.1",2.4580225808127e-31,0.294584767536445,0.461,0.299,3.553809047339e-27,"1","AW112010"
"Cndp2",2.55586723365008e-31,0.259858403785939,0.496,0.317,3.69527284641128e-27,"1","Cndp2"
"Zhx2.1",2.67998640255331e-31,-0.306909976799087,0.051,0.167,3.87472434081157e-27,"1","Zhx2"
"Nr4a3.1",3.53635268946965e-31,-0.478365801492349,0.02,0.118,5.11285871843522e-27,"1","Nr4a3"
"Entpd1.1",3.54968412617881e-31,0.251179201248789,0.249,0.119,5.13213330962932e-27,"1","Entpd1"
"Psmc5",3.88764543762942e-31,0.261557618890596,0.544,0.363,5.62075777372462e-27,"1","Psmc5"
"Tap1.1",4.45716582756594e-31,0.275370663182387,0.761,0.601,6.44417035349484e-27,"1","Tap1"
"Nod1",6.31296220803767e-31,-0.265959010576685,0.03,0.134,9.12728076038087e-27,"1","Nod1"
"Cops5",7.01127698114104e-31,0.252416723167094,0.395,0.239,1.01369042593337e-26,"1","Cops5"
"Rpn2",9.5162443125926e-31,0.255180154643451,0.586,0.407,1.37585860271464e-26,"1","Rpn2"
"Hdgf",9.62926810910705e-31,0.253559499623317,0.567,0.39,1.3921995832147e-26,"1","Hdgf"
"Slfn5",1.11393193255177e-30,-0.315712490209483,0.039,0.149,1.61052278808336e-26,"1","Slfn5"
"Psmb6",1.20581819372054e-30,0.264923025672018,0.542,0.374,1.74337194448115e-26,"1","Psmb6"
"Pdia4",2.15663746891032e-30,0.263101664239957,0.524,0.359,3.11806645255054e-26,"1","Pdia4"
"Pkp3.1",2.97698877260565e-30,0.321479208816641,0.426,0.268,4.30413036743325e-26,"1","Pkp3"
"Reep5",3.29945392261147e-30,0.253539693160348,0.541,0.367,4.77035048131167e-26,"1","Reep5"
"St8sia1",3.30394437181361e-30,-0.268289374455902,0.026,0.125,4.77684277276812e-26,"1","St8sia1"
"Papola",3.66231073699926e-30,0.250365590737396,0.655,0.493,5.29496886355353e-26,"1","Papola"
"Tagap.1",4.5425269731029e-30,-0.420189909153693,0.06,0.174,6.56758549771218e-26,"1","Tagap"
"Glipr2.1",8.32254937678362e-30,0.259534641660509,0.371,0.219,1.20327418889538e-25,"1","Glipr2"
"Atp5o",8.56903647200995e-30,0.260690663517368,0.584,0.409,1.2389112931232e-25,"1","Atp5o"
"Gnai3",1.06561788949489e-29,0.264627352777389,0.574,0.414,1.54067034463172e-25,"1","Gnai3"
"Kmt2a",1.18310567377025e-29,-0.414165628913208,0.436,0.549,1.71053418313702e-25,"1","Kmt2a"
"Cbfb",1.38101364977033e-29,0.257576178762942,0.466,0.305,1.99666953483794e-25,"1","Cbfb"
"Fam120a",1.55022879711026e-29,0.262430789683289,0.627,0.458,2.24132079486202e-25,"1","Fam120a"
"Eif4a3",2.23183226868485e-29,0.260008545015791,0.587,0.414,3.22678309406456e-25,"1","Eif4a3"
"Xrn2",3.19599430783524e-29,0.257792450190549,0.63,0.461,4.6207685702682e-25,"1","Xrn2"
"Akap13",4.13752722405528e-29,-0.35046250710056,0.696,0.747,5.98203686053913e-25,"1","Akap13"
"Plcb2",8.77342861275518e-29,-0.287335547676416,0.072,0.192,1.26846230883214e-24,"1","Plcb2"
"Ahcyl2.1",1.72055968982368e-28,-0.413631046733857,0.206,0.338,2.48758519954708e-24,"1","Ahcyl2"
"Cct6a",2.41277279390137e-28,0.251496500404274,0.567,0.406,3.4883869054226e-24,"1","Cct6a"
"Elf4.1",2.80678499012249e-28,0.261893881874275,0.439,0.279,4.0580497387191e-24,"1","Elf4"
"Actn4",3.50260121567265e-28,0.250880134735124,0.69,0.544,5.06406083761952e-24,"1","Actn4"
"Rpl23.1",3.5873812893002e-28,-0.299938808253879,0.608,0.678,5.18663586807023e-24,"1","Rpl23"
