"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Igfbp4",4.6426691075954e-77,0.490818455757959,0.235,0.117,6.71237099576142e-73
"Scd2",6.82437150324371e-77,-0.274687035572187,0.243,0.392,9.86667631938976e-73
"Jun",2.89012361726433e-75,0.394987306819331,0.293,0.167,4.17854072584077e-71
"Ikzf3",3.18672113555933e-75,-0.311930926114027,0.305,0.453,4.60736141779168e-71
"Ubash3b",3.02109241135593e-74,-0.252149395465274,0.16,0.289,4.3678954083384e-70
"Rap1b",1.47895080471915e-73,-0.278570223538518,0.522,0.664,2.13826707346295e-69
"Myo1g",3.19099511208637e-73,-0.27919562710158,0.333,0.482,4.61354073305448e-69
"Rapgef6",4.11006639447268e-72,0.304627542456756,0.649,0.577,5.9423339931286e-68
"Card6",5.94667717048349e-72,0.323854946779605,0.244,0.126,8.59770585308503e-68
"Tcf7",1.18915717916492e-71,0.268239927619225,0.556,0.414,1.71928344963664e-67
"Nfkb1",9.0194928115323e-71,-0.268083175901729,0.466,0.626,1.30403827069134e-66
"Rgs1",5.29722757165216e-69,0.410155622567074,0.356,0.24,7.65873162309469e-65
"Capn2",1.12056848149374e-67,-0.26051612291374,0.29,0.435,1.62011791054365e-63
"St8sia6",2.36017461020584e-67,0.376731574928627,0.234,0.125,3.41234045143561e-63
"Mxd4",2.47414080234146e-67,0.371748627647827,0.414,0.291,3.57711277202528e-63
"Pik3ip1",4.86964878650264e-66,0.283765756360114,0.178,0.078,7.04053821552551e-62
"Arhgef1",7.16694774103131e-66,0.261588297944879,0.724,0.679,1.03619730439831e-61
"Kmt2a",4.63503749825764e-65,0.327002471319507,0.593,0.514,6.7013372149809e-61
"S1pr1",9.07183342897392e-64,0.327910162232111,0.486,0.373,1.31160567716105e-59
"Ecm1",4.15247864043136e-63,0.310933950253946,0.313,0.194,6.00365361833566e-59
"Bcl11b",4.75895907955782e-63,0.307781692216266,0.607,0.531,6.8805030372247e-59
"Mcl1",1.08398885129834e-62,0.257485622951951,0.728,0.688,1.56723108120714e-58
"Slc44a2",4.71938574718277e-60,0.313488137777786,0.467,0.372,6.82328791327685e-56
"Inpp4b",3.78532651419497e-59,0.280871682750313,0.647,0.577,5.47282507422308e-55
"Rnf213",4.12059444075144e-59,0.451808828011918,0.514,0.426,5.95755544243844e-55
"Lrrc32",2.0903795528756e-57,0.320262854037859,0.344,0.23,3.02227075754754e-53
"Mycbp2",5.19217557490826e-55,0.301431415010102,0.645,0.589,7.50684744620236e-51
"Tmem64",9.58707086637124e-55,0.342480579849467,0.338,0.236,1.38609870585995e-50
"Ly6c1",1.62716271471021e-54,0.342025492918931,0.131,0.052,2.35255185292801e-50
"Lad1",1.53547080483967e-52,-0.381685531895673,0.075,0.15,2.2199836896372e-48
"Tsc22d3",3.99107741502652e-51,0.282466464080376,0.206,0.115,5.77029972664534e-47
"Cox7a2l",1.03934803663106e-50,0.291747101121454,0.478,0.403,1.50268939136119e-46
"Kmt2c",2.38579263393569e-50,0.329588043627861,0.418,0.325,3.44937899014422e-46
"Sp100",4.31001838959308e-50,0.260502295020008,0.626,0.568,6.23142458767368e-46
"Smg1",3.57957372297547e-49,0.282100620155336,0.623,0.584,5.17534768867793e-45
"Pnrc1",5.21469705275558e-49,0.289807381435467,0.394,0.303,7.53940899887402e-45
"Rn7sk",2.64445799966015e-47,0.302939767768061,0.364,0.272,3.82335737590864e-43
"Ikbke",2.70209908325944e-47,0.298535475614236,0.345,0.252,3.9066948545765e-43
"Slfn1",1.11935240306928e-46,0.311065230259263,0.333,0.238,1.61835970435756e-42
"Il6ra",1.50419325445035e-46,0.301745531582471,0.357,0.266,2.17476260728432e-42
"Ctsw",3.1532801793021e-46,0.292761163195551,0.27,0.176,4.55901248323498e-42
"Prkcq",1.62311252676955e-44,0.284137579721676,0.545,0.483,2.34669609120342e-40
"Itih5",8.14153555937721e-44,0.355126364950128,0.201,0.119,1.17710321117476e-39
"Kif21b",9.49082508857088e-44,0.288609577779832,0.45,0.376,1.37218349130558e-39
"Ski",1.10868235468353e-43,0.273463720351174,0.472,0.399,1.60293294840144e-39
"Ssh2",5.09032851879979e-42,0.296027114160847,0.442,0.366,7.35959697248073e-38
"Rere",2.23544242378989e-41,0.265012558803482,0.221,0.139,3.23200265631542e-37
"Fam65b",4.110053853659e-41,0.29262063387867,0.434,0.361,5.94231586162018e-37
"Egr1",6.69757134408129e-41,-0.37342414430991,0.076,0.141,9.68334864927274e-37
"Gm4955",9.2028424303168e-41,0.291860255590398,0.216,0.134,1.3305469585752e-36
"Klf2",1.03894333400841e-40,0.286177828216188,0.331,0.246,1.50210427230936e-36
