"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"Ifi47",0.0744569638698701,0.0115823728636066,0.579,0.646,1,0.281894
"Uggt1",0.0746528230046081,-0.0197241746992097,0.425,0.488,1,-0.250075
"Erdr1",0.0747891289738287,-0.0209786439409,0.1,0.125,1,0.392257
"Zbtb17",0.0751031121046354,-0.013184069387555,0.191,0.227,1,0.0808752
"Ptk2b",0.0751061866875724,0.0011554616917937,0.454,0.531,1,0.229706
"Zfp869",0.0752318375352792,-0.0168467420601344,0.085,0.109,1,0.588951
"Szt2",0.0756017380517658,0.057664824632277,0.113,0.094,1,-0.177894
"Slc25a44",0.0760309294121838,0.00189231380186805,0.097,0.123,1,-0.273967
"Ppp1cc",0.0762713751867172,-0.0186006420952315,0.097,0.122,1,-0.539495
"Gpatch1",0.0763868427433443,0.00294622123447447,0.101,0.128,1,0.393476
"4930486L24Rik",0.0764358017683595,-0.0305317180414629,0.082,0.104,1,-0.312403
"Cdip1",0.0764610566250105,0.00553921997869047,0.087,0.111,1,0.144151
"S100a13",0.0765383016427732,-0.0183694054772652,0.355,0.421,1,0.814428
"Tti2",0.0768477072306998,-0.0182779800783759,0.093,0.117,1,-0.124928
"Ints12",0.0771612561630298,-0.0065001157163265,0.149,0.182,1,-0.119735
"Ccdc94",0.0773401190553536,0.0109066946031492,0.094,0.121,1,NA
"Rnf146",0.0773689070407424,0.120307390015285,0.206,0.187,1,-0.133236
"Itsn2",0.0774798656868577,0.11447404127618,0.443,0.455,1,0.302919
"Nkap",0.0775052675926246,-0.0239393780305136,0.163,0.193,1,0.158574
"Vav2",0.0775527386499079,-0.0283554882903981,0.1,0.124,1,-0.462851
"Ncoa2",0.0775633155178769,0.14004843007677,0.384,0.376,1,0.064683
"Sft2d2",0.0776425379613591,0.137691868801961,0.339,0.326,1,0.15086
"Dpy19l4",0.0777085923857983,0.00413440808347917,0.142,0.172,1,0.0925275
"Trafd1",0.0781500272007598,0.0849825238358036,0.324,0.304,1,-0.0975148
"Prkca",0.0782286798818356,0.0283589609701516,0.306,0.364,1,-0.267646
"Cbr1",0.0783258164522879,-0.0260718286429875,0.164,0.194,1,0.940075
"Gbas",0.0784521195391848,0.0107233737740909,0.185,0.222,1,NA
"Uhrf2",0.0785240888667248,0.115108322284938,0.363,0.354,1,0.1732
"Ankfy1",0.0789184496949661,0.0116393397065925,0.285,0.33,1,-0.617179
"Foxo3",0.0791941467915061,0.00619526145860855,0.199,0.24,1,1.47103
"Rtfdc1",0.0796690035930337,-0.00358839753397466,0.43,0.501,1,NA
"Plcxd2",0.0797027846965487,0.107011602206065,0.149,0.131,1,0.157944
"Ndrg3",0.0797110047775633,0.123514711276465,0.327,0.317,1,0.29258
"Zfand5",0.0797513793721124,-0.011360976777344,0.237,0.279,1,-0.544459
"Atg7",0.0798394314461626,0.00505832974295017,0.181,0.217,1,-0.138552
"Tbc1d5",0.0798447007867247,-0.00170495970475559,0.122,0.152,1,-0.289718
"Cds2",0.0800525285708694,0.0467987564663739,0.401,0.482,1,0.0603182
"Cep19",0.0800588920456258,-0.0086830418743436,0.173,0.208,1,0.713236
"Slc39a1",0.0800893445809005,0.000952616175875221,0.178,0.215,1,-0.98395
"Ppox",0.0802565712063943,-0.0231330583741261,0.093,0.116,1,0.802822
"Rpap2",0.0804043519725581,-0.0241587425878835,0.149,0.179,1,0.640138
"Rragc",0.0804111337490721,-0.00757896603091213,0.29,0.338,1,-0.076247
"Ube2d2a",0.0807283271964233,0.0891969538650632,0.257,0.237,1,0.0979069
"Smim19",0.08107557941443,0.0437873650838703,0.122,0.101,1,0.574345
"Tjap1",0.0811162132077047,-0.00836218568987933,0.081,0.104,1,0.338427
"Apoa1bp",0.0812623819025655,-0.018885699835697,0.272,0.318,1,NA
"Cnot1",0.0813049463967856,-0.00817393832665614,0.66,0.736,1,-0.431028
"Smarcd1",0.0815693563829855,0.0136902115574657,0.218,0.261,1,0.142944
"Atp11c",0.0819426095813184,0.0325454431564849,0.221,0.266,1,0.221611
"Rps16",0.0821345298451354,-0.024686298020082,0.084,0.106,1,0.00154178
"Ciz1",0.0822136366743654,0.00545520613349632,0.203,0.243,1,0.296029
"Sys1",0.0822907020353191,0.0132977102820574,0.315,0.368,1,0.416004
"Dennd1a",0.0823074873370098,-0.0112065527505664,0.079,0.102,1,0.2708
"Fam149b",0.0824344261435175,-0.0115720310259389,0.119,0.147,1,0.55731
"Atxn2l",0.0825299943037379,0.00273607633715145,0.415,0.467,1,-0.0176561
"Zkscan1",0.0826250356458673,-0.00743846315701735,0.167,0.2,1,0.00797869
"Glul",0.0827595382247383,0.100570034963817,0.242,0.22,1,-0.424723
"Lin37",0.0829323003385577,-0.0220054531658496,0.133,0.16,1,0.476284
"Zbtb45",0.082972454334456,-0.0204290252092141,0.104,0.129,1,0.00214924
"Calm2",0.0830518890147335,0.0137130491097844,0.47,0.555,1,0.136718
"Ralgps2",0.0835167171889004,-0.0272930001680194,0.152,0.18,1,0.550598
"Slk",0.0835636138970846,0.0172910371248715,0.424,0.497,1,-0.0440934
"Lyrm9",0.0838198672290142,-0.0195815868916189,0.094,0.117,1,0.0982179
"Il27ra",0.0838291299230829,0.0688680312593282,0.209,0.186,1,0.858829
